Product_name,Discounted_price,Regula_price,Discount,Full_link
Mauve Linen Striped Shirt,₹ 899,₹ 2299,61% off,https://www.beyoung.in/mauve-linen-striped-shirt
Green Linen Striped Shirt,₹ 899,₹ 2299,61% off,https://www.beyoung.in/green-linen-striped-shirt
Green Oxford Striped Shirt,₹ 849,₹ 2299,63% off,https://www.beyoung.in/green-oxford-striped-shirt
Beige Oxford Striped Shirt,₹ 849,₹ 2299,63% off,https://www.beyoung.in/beige-oxford-striped-shirt
Denim Blue Acid Wash Polo T-shirt,₹ 699,₹ 1999,65% off,https://www.beyoung.in/denim-blue-acid-wash-polo-t-shirt
Grey Acid Wash Polo T-shirt,₹ 699,₹ 1999,65% off,https://www.beyoung.in/grey-acid-wash-polo-t-shirt
Dusty Olive Dual Pocket Corduroy Shirt,₹ 899,₹ 2499,64% off,https://www.beyoung.in/dusty-olive-dual-pocket-corduroy-shirt
Stone Grey Dual Pocket Corduroy Shirt,₹ 899,₹ 2499,64% off,https://www.beyoung.in/stone-grey-dual-pocket-corduroy-shirt
Lavender Star Patch Oversized T-Shirt,₹ 899,₹ 1499,40% off,https://www.beyoung.in/lavender-star-patch-oversized-t-shirt
Black HD Print Patch Oversized T-Shirt,₹ 749,₹ 1499,50% off,https://www.beyoung.in/black-hd-print-patch-oversized-t-shirt
Sky Blue Regular Fit Jeans,₹ 1099,₹ 2499,56% off,https://www.beyoung.in/sky-blue-regular-fit-jeans
Indigo Blue Regular Fit Jeans,₹ 998,₹ 2499,60% off,https://www.beyoung.in/indigo-blue-regular-fit-jeans-2
